Date de l'épisode;Origine;Polluant;Région;Département;Seuil dépassé
26/01/2017;CONSTAT;PM10;BOURGOGNE;SAONE-ET-LOIRE;80 µg/m³ / 24h
26/01/2017;CONSTAT;PM10;BOURGOGNE;YONNE;80 µg/m³ / 24h
26/01/2017;CONSTAT;PM10;CHAMPAGNE-ARDENNE;ARDENNES;50 µg/m³ / 24h
18/12/2016;CONSTAT;PM10;NORD-PAS-DE-CALAIS;PAS-DE-CALAIS;50 µg/m³ / 24h
17/12/2016;CONSTAT;PM10;NORD-PAS-DE-CALAIS;PAS-DE-CALAIS;50 µg/m³ / 24h
03/10/2016;CONSTAT;PM10;NORD-PAS-DE-CALAIS;PAS-DE-CALAIS;50 µg/m³ / 24h
05/06/2016;CONSTAT;O3;NORD-PAS-DE-CALAIS;PAS-DE-CALAIS;180 µg/m³ / 1h
29/05/2016;CONSTAT;PM10;NORD-PAS-DE-CALAIS;PAS-DE-CALAIS;50 µg/m³ / 24h
27/05/2016;CONSTAT;PM10;NORD-PAS-DE-CALAIS;PAS-DE-CALAIS;50 µg/m³ / 24h
23/05/2016;CONSTAT;PM10;NORD-PAS-DE-CALAIS;PAS-DE-CALAIS;50 µg/m³ / 24h
29/04/2016;CONSTAT;PM10;NORD-PAS-DE-CALAIS;PAS-DE-CALAIS;50 µg/m³ / 24h
26/01/2017;CONSTAT;PM10;CHAMPAGNE-ARDENNE;HAUTE-MARNE;50 µg/m³ / 24h
24/10/2016;CONSTAT;SO2;PAYS DE LA LOIRE;LOIRE-ATLANTIQUE;300 µg/m³ / 1h
24/10/2016;CONSTAT;SO2;PAYS DE LA LOIRE;LOIRE-ATLANTIQUE;300 µg/m³ / 1h
13/05/2016;CONSTAT;SO2;PAYS DE LA LOIRE;LOIRE-ATLANTIQUE;300 µg/m³ / 1h
26/01/2017;CONSTAT;PM10;HAUTE-NORMANDIE;EURE;50 µg/m³ / 24h
26/01/2017;CONSTAT;PM10;HAUTE-NORMANDIE;SEINE-MARITIME;50 µg/m³ / 24h
26/01/2017;CONSTAT;PM10;ILE-DE-FRANCE;ESSONNE;50 µg/m³ / 24h
29/02/2016;CONSTAT;PM10;PICARDIE;AISNE;50 µg/m³ / 24h
15/12/2016;CONSTAT;PM10;PICARDIE;OISE;50 µg/m³ / 24h
26/01/2017;CONSTAT;PM10;ILE-DE-FRANCE;HAUTS-DE-SEINE;50 µg/m³ / 24h
12/03/2016;CONSTAT;PM10;POITOU-CHARENTES;CHARENTE;50 µg/m³ / 24h
12/03/2016;CONSTAT;PM10;POITOU-CHARENTES;CHARENTE-MARITIME;50 µg/m³ / 24h
12/03/2016;CONSTAT;PM10;POITOU-CHARENTES;DEUX-SEVRES;50 µg/m³ / 24h
11/03/2016;CONSTAT;PM10;POITOU-CHARENTES;VIENNE;50 µg/m³ / 24h
26/01/2017;CONSTAT;PM10;ILE-DE-FRANCE;PARIS;50 µg/m³ / 24h
26/01/2017;CONSTAT;PM10;ILE-DE-FRANCE;SEINE-ET-MARNE;50 µg/m³ / 24h
24/08/2016;CONSTAT;SO2;PROVENCE-ALPES-COTE D'AZUR;BOUCHES-DU-RHONE;300 µg/m³ / 1h
26/01/2017;CONSTAT;PM10;ILE-DE-FRANCE;SEINE-SAINT-DENIS;50 µg/m³ / 24h
26/01/2017;CONSTAT;PM10;ILE-DE-FRANCE;VAL-DE-MARNE;50 µg/m³ / 24h
26/01/2017;CONSTAT;PM10;ILE-DE-FRANCE;VAL-D'OISE;50 µg/m³ / 24h
26/01/2017;CONSTAT;PM10;ILE-DE-FRANCE;YVELINES;50 µg/m³ / 24h
26/01/2017;CONSTAT;PM10;LA REUNION;LA REUNION;50 µg/m³ / 24h
26/01/2017;CONSTAT;PM10;MIDI-PYRENEES;TARN-ET-GARONNE;50 µg/m³ / 24h
26/01/2017;CONSTAT;PM10;NORD-PAS-DE-CALAIS;NORD;80 µg/m³ / 24h
26/01/2017;CONSTAT;PM10;NORD-PAS-DE-CALAIS;PAS-DE-CALAIS;80 µg/m³ / 24h
26/01/2017;CONSTAT;SO2;PAYS DE LA LOIRE;LOIRE-ATLANTIQUE;300 µg/m³ / 1h
26/01/2017;CONSTAT;PM10;PAYS DE LA LOIRE;MAINE-ET-LOIRE;50 µg/m³ / 24h
17/12/2016;CONSTAT;PM10;RHONE-ALPES;AIN;
16/12/2016;CONSTAT;PM10;RHONE-ALPES;AIN;50 µg/m³ / 24h
15/12/2016;CONSTAT;PM10;RHONE-ALPES;AIN;50 µg/m³ / 24h
10/12/2016;CONSTAT;PM10;RHONE-ALPES;AIN;50 µg/m³ / 24h
09/12/2016;CONSTAT;PM10;RHONE-ALPES;AIN;50 µg/m³ / 24h
07/12/2016;CONSTAT;PM10;RHONE-ALPES;AIN;50 µg/m³ / 24h
01/12/2016;CONSTAT;PM10;RHONE-ALPES;AIN;50 µg/m³ / 24h
25/08/2016;CONSTAT;O3;RHONE-ALPES;AIN;180 µg/m³ / 1h
22/03/2016;CONSTAT;PM10;RHONE-ALPES;AIN;50 µg/m³ / 24h
21/03/2016;CONSTAT;PM10;RHONE-ALPES;AIN;50 µg/m³ / 24h
26/01/2017;CONSTAT;PM10;PAYS DE LA LOIRE;MAYENNE;50 µg/m³ / 24h
26/01/2017;CONSTAT;PM10;PAYS DE LA LOIRE;SARTHE;50 µg/m³ / 24h
26/01/2017;CONSTAT;PM10;RHONE-ALPES;AIN;80 µg/m³ / 24h
26/01/2017;CONSTAT;PM10;RHONE-ALPES;ARDECHE;80 µg/m³ / 24h
26/01/2017;CONSTAT;PM10;RHONE-ALPES;DROME;80 µg/m³ / 24h
26/01/2017;CONSTAT;PM10;RHONE-ALPES;ISERE;50 µg/m³ / 24h
26/01/2017;CONSTAT;PM10;RHONE-ALPES;LOIRE;80 µg/m³ / 24h
26/01/2017;CONSTAT;PM10;RHONE-ALPES;RHONE;80 µg/m³ / 24h
27/01/2017;CONSTAT;PM10;ALSACE;BAS-RHIN;50 µg/m³ / 24h
31/12/2016;CONSTAT;PM10;RHONE-ALPES;ARDECHE;50 µg/m³ / 24h
17/12/2016;CONSTAT;PM10;RHONE-ALPES;ARDECHE;50 µg/m³ / 24h
16/12/2016;CONSTAT;PM10;RHONE-ALPES;ARDECHE;50 µg/m³ / 24h
14/12/2016;CONSTAT;PM10;RHONE-ALPES;ARDECHE;50 µg/m³ / 24h
10/12/2016;CONSTAT;PM10;RHONE-ALPES;ARDECHE;50 µg/m³ / 24h
09/12/2016;CONSTAT;PM10;RHONE-ALPES;ARDECHE;50 µg/m³ / 24h
07/12/2016;CONSTAT;PM10;RHONE-ALPES;ARDECHE;50 µg/m³ / 24h
05/12/2016;CONSTAT;PM10;RHONE-ALPES;ARDECHE;50 µg/m³ / 24h
01/12/2016;CONSTAT;PM10;RHONE-ALPES;ARDECHE;50 µg/m³ / 24h
22/03/2016;CONSTAT;PM10;RHONE-ALPES;ARDECHE;
21/03/2016;CONSTAT;PM10;RHONE-ALPES;ARDECHE;50 µg/m³ / 24h
27/01/2017;CONSTAT;PM10;ALSACE;HAUT-RHIN;80 µg/m³ / 24h
27/01/2017;CONSTAT;SO2;AQUITAINE;PYRENEES-ATLANTIQUES;300 µg/m³ / 1h
27/01/2017;CONSTAT;PM10;BOURGOGNE;COTE-D'OR;80 µg/m³ / 24h
27/01/2017;CONSTAT;PM10;BOURGOGNE;SAONE-ET-LOIRE;80 µg/m³ / 24h
27/01/2017;CONSTAT;PM10;BOURGOGNE;YONNE;80 µg/m³ / 24h
27/01/2017;CONSTAT;PM10;CHAMPAGNE-ARDENNE;ARDENNES;50 µg/m³ / 24h
27/01/2017;CONSTAT;PM10;LA REUNION;LA REUNION;50 µg/m³ / 24h
31/12/2016;CONSTAT;PM10;RHONE-ALPES;DROME;50 µg/m³ / 24h
17/12/2016;CONSTAT;PM10;RHONE-ALPES;DROME;50 µg/m³ / 24h
16/12/2016;CONSTAT;PM10;RHONE-ALPES;DROME;50 µg/m³ / 24h
14/12/2016;CONSTAT;PM10;RHONE-ALPES;DROME;50 µg/m³ / 24h
